,Festival_week,Months,OS,Place,Processor,Product,RAM,Sales
245,no,1,Linux,europe,i3,vostro,16,39
246,no,1,Windows,europe,i5,vostro,4,57
247,no,1,Linux,europe,i5,vostro,4,23
248,no,1,Windows,europe,i5,vostro,8,35
249,no,1,Linux,europe,i5,vostro,8,98
250,no,1,Windows,europe,i5,vostro,16,34
251,no,1,Linux,europe,i5,vostro,16,35
252,no,1,Windows,europe,i7,vostro,4,46
253,no,1,Linux,europe,i7,vostro,4,36
254,no,1,Windows,europe,i7,vostro,8,46
255,no,1,Linux,europe,i7,vostro,8,56
256,no,1,Windows,europe,i7,vostro,16,53
257,no,1,Linux,europe,i7,vostro,16,54
258,no,1,Windows,europe,i9,vostro,4,91
259,no,1,Linux,europe,i9,vostro,4,39
260,no,1,Windows,europe,i9,vostro,8,30
261,no,1,Linux,europe,i9,vostro,8,114
262,no,1,Windows,europe,i9,vostro,16,60
263,no,1,Linux,europe,i9,vostro,16,45
264,no,1,Windows,america,i3,vostro,4,89
265,no,1,Linux,america,i3,vostro,4,31
266,no,1,Windows,america,i3,vostro,8,44
267,no,1,Linux,america,i3,vostro,8,41
268,no,1,Windows,america,i3,vostro,16,33
269,no,1,Linux,america,i3,vostro,16,46
270,no,1,Windows,america,i5,vostro,4,78
271,no,1,Linux,america,i5,vostro,4,48
272,no,1,Windows,america,i5,vostro,8,39
273,no,1,Linux,america,i5,vostro,8,121
274,no,1,Windows,america,i5,vostro,16,29
275,no,1,Linux,america,i5,vostro,16,43
276,no,1,Windows,america,i7,vostro,4,100
277,no,1,Linux,america,i7,vostro,4,39
278,no,1,Windows,america,i7,vostro,8,34
279,no,1,Linux,america,i7,vostro,8,66
280,no,1,Windows,america,i7,vostro,16,37
281,no,1,Linux,america,i7,vostro,16,41
282,no,1,Windows,america,i9,vostro,4,83
283,no,1,Linux,america,i9,vostro,4,39
284,no,1,Windows,america,i9,vostro,8,34
285,no,1,Linux,america,i9,vostro,8,118
286,no,1,Windows,america,i9,vostro,16,29
287,no,1,Linux,america,i9,vostro,16,47
288,no,1,Windows,asia,i3,xps,4,20
289,no,1,Linux,asia,i3,xps,4,17
290,no,1,Windows,asia,i3,xps,8,27
291,no,1,Linux,asia,i3,xps,8,28
292,no,1,Windows,asia,i3,xps,16,18
293,no,1,Linux,asia,i3,xps,16,16
294,no,1,Windows,asia,i5,xps,4,16
295,no,1,Linux,asia,i5,xps,4,12
296,no,1,Windows,asia,i5,xps,8,23
297,no,1,Linux,asia,i5,xps,8,41
298,no,1,Windows,asia,i5,xps,16,11
299,no,1,Linux,asia,i5,xps,16,13
300,no,1,Windows,asia,i7,xps,4,33
301,no,1,Linux,asia,i7,xps,4,22
302,no,1,Windows,asia,i7,xps,8,20
303,no,1,Linux,asia,i7,xps,8,33
304,no,1,Windows,asia,i7,xps,16,23
305,no,1,Linux,asia,i7,xps,16,19
306,no,1,Windows,asia,i9,xps,4,24
307,no,1,Linux,asia,i9,xps,4,17
308,no,1,Windows,asia,i9,xps,8,11
309,no,1,Linux,asia,i9,xps,8,34
310,no,1,Windows,asia,i9,xps,16,13
311,no,1,Linux,asia,i9,xps,16,13
312,no,1,Windows,africa,i3,xps,4,40
313,no,1,Linux,africa,i3,xps,4,14
314,no,1,Windows,africa,i3,xps,8,17
315,no,1,Linux,africa,i3,xps,8,30
316,no,1,Windows,africa,i3,xps,16,20
317,no,1,Linux,africa,i3,xps,16,16
318,no,1,Windows,africa,i5,xps,4,32
319,no,1,Linux,africa,i5,xps,4,21
320,no,1,Windows,africa,i5,xps,8,18
321,no,1,Linux,africa,i5,xps,8,47
322,no,1,Windows,africa,i5,xps,16,20
323,no,1,Linux,africa,i5,xps,16,19
324,no,1,Windows,africa,i7,xps,4,9
325,no,1,Linux,africa,i7,xps,4,4
326,no,1,Windows,africa,i7,xps,8,8
327,no,1,Linux,africa,i7,xps,8,53
328,no,1,Windows,africa,i7,xps,16,11
329,no,1,Linux,africa,i7,xps,16,13
330,no,1,Windows,africa,i9,xps,4,39
331,no,1,Linux,africa,i9,xps,4,6
332,no,1,Windows,africa,i9,xps,8,10
333,no,1,Linux,africa,i9,xps,8,36
334,no,1,Windows,africa,i9,xps,16,5
335,no,1,Linux,africa,i9,xps,16,13
336,no,1,Windows,europe,i3,xps,4,22
337,no,1,Linux,europe,i3,xps,4,6
338,no,1,Windows,europe,i3,xps,8,7
339,no,1,Linux,europe,i3,xps,8,50
340,no,1,Windows,europe,i3,xps,16,11
341,no,1,Linux,europe,i3,xps,16,7
342,no,1,Windows,europe,i5,xps,4,37
343,no,1,Linux,europe,i5,xps,4,9
344,no,1,Windows,europe,i5,xps,8,9
345,no,1,Linux,europe,i5,xps,8,33
346,no,1,Windows,europe,i5,xps,16,9
347,no,1,Linux,europe,i5,xps,16,10
348,no,1,Windows,europe,i7,xps,4,23
349,no,1,Linux,europe,i7,xps,4,4
350,no,1,Windows,europe,i7,xps,8,11
351,no,1,Linux,europe,i7,xps,8,37
352,no,1,Windows,europe,i7,xps,16,7
353,no,1,Linux,europe,i7,xps,16,10
354,no,1,Windows,europe,i9,xps,4,22
355,no,1,Linux,europe,i9,xps,4,7
356,no,1,Windows,europe,i9,xps,8,7
357,no,1,Linux,europe,i9,xps,8,21
358,no,1,Windows,europe,i9,xps,16,7
359,no,1,Linux,europe,i9,xps,16,7
360,no,1,Windows,america,i3,xps,4,14
361,no,1,Linux,america,i3,xps,4,23
362,no,1,Windows,america,i3,xps,8,22
363,no,1,Linux,america,i3,xps,8,14
364,no,1,Windows,america,i3,xps,16,19
365,no,1,Linux,america,i3,xps,16,24
366,no,1,Windows,america,i5,xps,4,22
367,no,1,Linux,america,i5,xps,4,20
368,no,1,Windows,america,i5,xps,8,26
369,no,1,Linux,america,i5,xps,8,20
370,no,1,Windows,america,i5,xps,16,22
371,no,1,Linux,america,i5,xps,16,23
372,no,1,Windows,america,i7,xps,4,25
373,no,1,Linux,america,i7,xps,4,21
374,no,1,Windows,america,i7,xps,8,19
375,no,1,Linux,america,i7,xps,8,12
376,no,1,Windows,america,i7,xps,16,18
377,no,1,Linux,america,i7,xps,16,20
378,no,1,Windows,america,i9,xps,4,27
379,no,1,Linux,america,i9,xps,4,14
380,no,1,Windows,america,i9,xps,8,24
381,no,1,Linux,america,i9,xps,8,34
382,no,1,Windows,america,i9,xps,16,15
383,no,1,Linux,america,i9,xps,16,20
384,no,2,Windows,asia,i3,vostro,4,26
385,no,2,Linux,asia,i3,vostro,4,14
386,no,2,Windows,asia,i3,vostro,8,15
387,no,2,Linux,asia,i3,vostro,8,16
388,no,2,Windows,asia,i3,vostro,16,24
389,no,2,Linux,asia,i3,vostro,16,22
390,no,2,Windows,asia,i5,vostro,4,14
391,no,2,Linux,asia,i5,vostro,4,19
392,no,2,Windows,asia,i5,vostro,8,18
393,no,2,Linux,asia,i5,vostro,8,28
394,no,2,Windows,asia,i5,vostro,16,18
395,no,2,Linux,asia,i5,vostro,16,20
396,no,2,Windows,asia,i7,vostro,4,42
397,no,2,Linux,asia,i7,vostro,4,52
398,no,2,Windows,asia,i7,vostro,8,55
399,no,2,Linux,asia,i7,vostro,8,95
400,no,2,Windows,asia,i7,vostro,16,45
401,no,2,Linux,asia,i7,vostro,16,53
402,no,2,Windows,asia,i9,vostro,4,73
403,no,2,Linux,asia,i9,vostro,4,47
404,no,2,Windows,asia,i9,vostro,8,36
405,no,2,Linux,asia,i9,vostro,8,69
406,no,2,Windows,asia,i9,vostro,16,52
407,no,2,Linux,asia,i9,vostro,16,47
408,no,2,Windows,africa,i3,vostro,4,64
409,no,2,Linux,africa,i3,vostro,4,53
410,no,2,Windows,africa,i3,vostro,8,34
411,no,2,Linux,africa,i3,vostro,8,92
412,no,2,Windows,africa,i3,vostro,16,48
413,no,2,Linux,africa,i3,vostro,16,42
414,no,2,Windows,africa,i5,vostro,4,68
415,no,2,Linux,africa,i5,vostro,4,50
416,no,2,Windows,africa,i5,vostro,8,48
417,no,2,Linux,africa,i5,vostro,8,63
418,no,2,Windows,africa,i5,vostro,16,43
419,no,2,Linux,africa,i5,vostro,16,58
420,no,2,Windows,africa,i7,vostro,4,82
421,no,2,Linux,africa,i7,vostro,4,62
422,no,2,Windows,africa,i7,vostro,8,55
423,no,2,Linux,africa,i7,vostro,8,90
424,no,2,Windows,africa,i7,vostro,16,49
425,no,2,Linux,africa,i7,vostro,16,55
426,no,2,Windows,africa,i9,vostro,4,76
427,no,2,Linux,africa,i9,vostro,4,51
428,no,2,Windows,africa,i9,vostro,8,40
429,no,2,Linux,africa,i9,vostro,8,72
430,no,2,Windows,africa,i9,vostro,16,50
431,no,2,Linux,africa,i9,vostro,16,36
432,no,2,Windows,europe,i3,vostro,4,32
433,no,2,Linux,europe,i3,vostro,4,27
434,no,2,Windows,europe,i3,vostro,8,29
435,no,2,Linux,europe,i3,vostro,8,58
436,no,2,Windows,europe,i3,vostro,16,31
437,no,2,Linux,europe,i3,vostro,16,26
438,no,2,Windows,europe,i5,vostro,4,45
439,no,2,Linux,europe,i5,vostro,4,33
440,no,2,Windows,europe,i5,vostro,8,25
441,no,2,Linux,europe,i5,vostro,8,67
442,no,2,Windows,europe,i5,vostro,16,35
443,no,2,Linux,europe,i5,vostro,16,29
444,no,2,Windows,europe,i7,vostro,4,83
445,no,2,Linux,europe,i7,vostro,4,29
446,no,2,Windows,europe,i7,vostro,8,27
447,no,2,Linux,europe,i7,vostro,8,65
448,no,2,Windows,europe,i7,vostro,16,33
449,no,2,Linux,europe,i7,vostro,16,32
450,no,2,Windows,europe,i9,vostro,4,45
451,no,2,Linux,europe,i9,vostro,4,40
452,no,2,Windows,europe,i9,vostro,8,39
453,no,2,Linux,europe,i9,vostro,8,59
454,no,2,Windows,europe,i9,vostro,16,24
455,no,2,Linux,europe,i9,vostro,16,27
456,no,2,Windows,america,i3,vostro,4,86
457,no,2,Linux,america,i3,vostro,4,23
458,no,2,Windows,america,i3,vostro,8,27
459,no,2,Linux,america,i3,vostro,8,62
460,no,2,Windows,america,i3,vostro,16,36
461,no,2,Linux,america,i3,vostro,16,28
462,no,2,Windows,america,i5,vostro,4,41
463,no,2,Linux,america,i5,vostro,4,18
464,no,2,Windows,america,i5,vostro,8,31
465,no,2,Linux,america,i5,vostro,8,89
466,no,2,Windows,america,i5,vostro,16,34
467,no,2,Linux,america,i5,vostro,16,24
468,no,2,Windows,america,i7,vostro,4,16
469,no,2,Linux,america,i7,vostro,4,30
470,no,2,Windows,america,i7,vostro,8,22
471,no,2,Linux,america,i7,vostro,8,87
472,no,2,Windows,america,i7,vostro,16,27
473,no,2,Linux,america,i7,vostro,16,24
474,no,2,Windows,america,i9,vostro,4,63
475,no,2,Linux,america,i9,vostro,4,25
476,no,2,Windows,america,i9,vostro,8,28
477,no,2,Linux,america,i9,vostro,8,39
478,no,2,Windows,america,i9,vostro,16,25
479,no,2,Linux,america,i9,vostro,16,27
480,no,2,Windows,asia,i3,xps,4,69
481,no,2,Linux,asia,i3,xps,4,28
482,no,2,Windows,asia,i3,xps,8,25
483,no,2,Linux,asia,i3,xps,8,90
484,no,2,Windows,asia,i3,xps,16,17
485,no,2,Linux,asia,i3,xps,16,22
486,no,2,Windows,asia,i5,xps,4,67
487,no,2,Linux,asia,i5,xps,4,20
488,no,2,Windows,asia,i5,xps,8,16
489,no,2,Linux,asia,i5,xps,8,40
490,no,2,Windows,asia,i5,xps,16,28
491,no,2,Linux,asia,i5,xps,16,31
492,no,2,Windows,asia,i7,xps,4,79
493,no,2,Linux,asia,i7,xps,4,26
494,no,2,Windows,asia,i7,xps,8,18
495,no,2,Linux,asia,i7,xps,8,91
496,no,2,Windows,asia,i7,xps,16,18
497,no,2,Linux,asia,i7,xps,16,21
498,no,2,Windows,asia,i9,xps,4,70
499,no,2,Linux,asia,i9,xps,4,28
500,no,2,Windows,asia,i9,xps,8,21
501,no,2,Linux,asia,i9,xps,8,51
502,no,2,Windows,asia,i9,xps,16,20
503,no,2,Linux,asia,i9,xps,16,22
504,no,2,Windows,africa,i3,xps,4,28
505,no,2,Linux,africa,i3,xps,4,38
506,no,2,Windows,africa,i3,xps,8,27
507,no,2,Linux,africa,i3,xps,8,41
508,no,2,Windows,africa,i3,xps,16,35
509,no,2,Linux,africa,i3,xps,16,42
510,no,2,Windows,africa,i5,xps,4,57
511,no,2,Linux,africa,i5,xps,4,49
512,no,2,Windows,africa,i5,xps,8,29
513,no,2,Linux,africa,i5,xps,8,112
514,no,2,Windows,africa,i5,xps,16,35
515,no,2,Linux,africa,i5,xps,16,37
516,no,2,Windows,africa,i7,xps,4,80
517,no,2,Linux,africa,i7,xps,4,41
518,no,2,Windows,africa,i7,xps,8,28
519,no,2,Linux,africa,i7,xps,8,30
520,no,2,Windows,africa,i7,xps,16,28
521,no,2,Linux,africa,i7,xps,16,30
522,no,2,Windows,africa,i9,xps,4,65
523,no,2,Linux,africa,i9,xps,4,37
524,no,2,Windows,africa,i9,xps,8,32
525,no,2,Linux,africa,i9,xps,8,97
526,no,2,Windows,africa,i9,xps,16,34
527,no,2,Linux,africa,i9,xps,16,42
528,no,2,Windows,europe,i3,xps,4,64
529,no,2,Linux,europe,i3,xps,4,40
530,no,2,Windows,europe,i3,xps,8,28
531,no,2,Linux,europe,i3,xps,8,41
532,no,2,Windows,europe,i3,xps,16,41
533,no,2,Linux,europe,i3,xps,16,39
534,no,2,Windows,europe,i5,xps,4,57
535,no,2,Linux,europe,i5,xps,4,23
536,no,2,Windows,europe,i5,xps,8,35
537,no,2,Linux,europe,i5,xps,8,98
538,no,2,Windows,europe,i5,xps,16,34
539,no,2,Linux,europe,i5,xps,16,35
540,no,2,Windows,europe,i7,xps,4,46
541,no,2,Linux,europe,i7,xps,4,36
542,no,2,Windows,europe,i7,xps,8,46
543,no,2,Linux,europe,i7,xps,8,56
544,no,2,Windows,europe,i7,xps,16,53
545,no,2,Linux,europe,i7,xps,16,54
546,no,2,Windows,europe,i9,xps,4,91
547,no,2,Linux,europe,i9,xps,4,39
548,no,2,Windows,europe,i9,xps,8,30
549,no,2,Linux,europe,i9,xps,8,114
550,no,2,Windows,europe,i9,xps,16,60
551,no,2,Linux,europe,i9,xps,16,45
552,no,2,Windows,america,i3,xps,4,89
553,no,2,Linux,america,i3,xps,4,31
554,no,2,Windows,america,i3,xps,8,44
555,no,2,Linux,america,i3,xps,8,41
556,no,2,Windows,america,i3,xps,16,33
557,no,2,Linux,america,i3,xps,16,46
558,no,2,Windows,america,i5,xps,4,78
559,no,2,Linux,america,i5,xps,4,48
560,no,2,Windows,america,i5,xps,8,39
561,no,2,Linux,america,i5,xps,8,121
562,no,2,Windows,america,i5,xps,16,29
563,no,2,Linux,america,i5,xps,16,43
564,no,2,Windows,america,i7,xps,4,100
565,no,2,Linux,america,i7,xps,4,39
566,no,2,Windows,america,i7,xps,8,34
567,no,2,Linux,america,i7,xps,8,66
568,no,2,Windows,america,i7,xps,16,37
569,no,2,Linux,america,i7,xps,16,41
570,no,2,Windows,america,i9,xps,4,83
571,no,2,Linux,america,i9,xps,4,39
572,no,2,Windows,america,i9,xps,8,34
573,no,2,Linux,america,i9,xps,8,118
574,no,2,Windows,america,i9,xps,16,29
575,no,2,Linux,america,i9,xps,16,47
576,random,3,Windows,asia,i3,vostro,4,20
577,random,3,Linux,asia,i3,vostro,4,17
578,random,3,Windows,asia,i3,vostro,8,27
579,random,3,Linux,asia,i3,vostro,8,28
580,random,3,Windows,asia,i3,vostro,16,18
581,random,3,Linux,asia,i3,vostro,16,16
582,random,3,Windows,asia,i5,vostro,4,16
583,random,3,Linux,asia,i5,vostro,4,12
584,random,3,Windows,asia,i5,vostro,8,23
585,random,3,Linux,asia,i5,vostro,8,41
586,random,3,Windows,asia,i5,vostro,16,11
587,random,3,Linux,asia,i5,vostro,16,13
588,random,3,Windows,asia,i7,vostro,4,33
589,random,3,Linux,asia,i7,vostro,4,22
590,random,3,Windows,asia,i7,vostro,8,20
591,random,3,Linux,asia,i7,vostro,8,33
592,random,3,Windows,asia,i7,vostro,16,23
593,random,3,Linux,asia,i7,vostro,16,19
594,random,3,Windows,asia,i9,vostro,4,24
595,random,3,Linux,asia,i9,vostro,4,17
596,random,3,Windows,asia,i9,vostro,8,11
597,random,3,Linux,asia,i9,vostro,8,34
